"stfips","year","dins","yexp2","W"
1,2008,0.681412220001221,NA,613156
1,2009,0.658062100410461,NA,613156
1,2010,0.631365120410919,NA,613156
1,2011,0.656388640403748,NA,613156
1,2012,0.670811474323273,NA,613156
1,2013,0.652154386043549,NA,613156
1,2014,0.688614666461945,NA,613156
1,2015,0.704941093921661,NA,613156
1,2016,0.72039920091629,NA,613156
1,2017,0.739164650440216,NA,613156
1,2018,0.695576429367065,NA,613156
1,2019,0.727472841739655,NA,613156
2,2008,0.490274399518967,2016,63595
2,2009,0.471383035182953,2016,63595
2,2010,0.523869335651398,2016,63595
2,2011,0.55135178565979,2016,63595
2,2012,0.473102301359177,2016,63595
2,2013,0.579175055027008,2016,63595
2,2014,0.531309008598328,2016,63595
2,2015,0.622264623641968,2016,63595
2,2016,0.65498411655426,2016,63595
2,2017,0.65888249874115,2016,63595
2,2018,0.710450947284698,2016,63595
2,2019,0.713079690933228,2016,63595
4,2008,0.609876275062561,2014,741152
4,2009,0.603841304779053,2014,741152
4,2010,0.622157454490662,2014,741152
4,2011,0.621818423271179,2014,741152
4,2012,0.605209767818451,2014,741152
4,2013,0.614528357982635,2014,741152
4,2014,0.688494145870209,2014,741152
4,2015,0.754056096076965,2014,741152
4,2016,0.74924111366272,2014,741152
4,2017,0.749587655067444,2014,741152
4,2018,0.738300383090973,2014,741152
4,2019,0.735501170158386,2014,741152
5,2008,0.623864948749542,2014,389081
5,2009,0.616609513759613,2014,389081
5,2010,0.601946890354156,2014,389081
5,2011,0.61867493391037,2014,389081
5,2012,0.647255539894104,2014,389081
5,2013,0.660112977027893,2014,389081
5,2014,0.724623918533325,2014,389081
5,2015,0.780925631523132,2014,389081
5,2016,0.816842436790466,2014,389081
5,2017,0.796191930770874,2014,389081
5,2018,0.779827833175659,2014,389081
5,2019,0.778677463531494,2014,389081
6,2008,0.576634645462036,2014,3657406
6,2009,0.556698262691498,2014,3657406
6,2010,0.560785830020905,2014,3657406
6,2011,0.565227568149567,2014,3657406
6,2012,0.567108035087585,2014,3657406
6,2013,0.586947202682495,2014,3657406
6,2014,0.689255893230438,2014,3657406
6,2015,0.777474045753479,2014,3657406
6,2016,0.800353348255157,2014,3657406
6,2017,0.806535601615906,2014,3657406
6,2018,0.808331668376923,2014,3657406
6,2019,0.791604995727539,2014,3657406
8,2008,0.604229986667633,2014,531915
8,2009,0.622359693050385,2014,531915
8,2010,0.62432599067688,2014,531915
8,2011,0.621745705604553,2014,531915
8,2012,0.631078243255615,2014,531915
8,2013,0.653115212917328,2014,531915
8,2014,0.751154601573944,2014,531915
8,2015,0.792861342430115,2014,531915
8,2016,0.78642749786377,2014,531915
8,2017,0.788481414318085,2014,531915
8,2018,0.794976115226746,2014,531915
8,2019,0.787310898303986,2014,531915
9,2008,0.703660130500793,2014,263488
9,2009,0.693790853023529,2014,263488
9,2010,0.688957214355469,2014,263488
9,2011,0.678856253623962,2014,263488
9,2012,0.709950685501099,2014,263488
9,2013,0.696852445602417,2014,263488
9,2014,0.794566690921783,2014,263488
9,2015,0.818610787391663,2014,263488
9,2016,0.858273804187775,2014,263488
9,2017,0.834649682044983,2014,263488
9,2018,0.846066534519196,2014,263488
9,2019,0.841768383979797,2014,263488
12,2008,0.548708617687225,NA,2292111
12,2009,0.534836709499359,NA,2292111
12,2010,0.524116218090057,NA,2292111
12,2011,0.526963651180267,NA,2292111
12,2012,0.547936499118805,NA,2292111
12,2013,0.549231708049774,NA,2292111
12,2014,0.612213551998138,NA,2292111
12,2015,0.668329775333405,NA,2292111
12,2016,0.671999156475067,NA,2292111
12,2017,0.672537207603455,NA,2292111
12,2018,0.673118352890015,NA,2292111
12,2019,0.667375028133392,NA,2292111
13,2008,0.559945940971375,NA,1138317
13,2009,0.548535168170929,NA,1138317
13,2010,0.541580677032471,NA,1138317
13,2011,0.538868069648743,NA,1138317
13,2012,0.554657697677612,NA,1138317
13,2013,0.555077314376831,NA,1138317
13,2014,0.604396820068359,NA,1138317
13,2015,0.649597764015198,NA,1138317
13,2016,0.667789876461029,NA,1138317
13,2017,0.640927910804749,NA,1138317
13,2018,0.647491812705994,NA,1138317
13,2019,0.635850012302399,NA,1138317
15,2008,0.785001337528229,2014,107703
15,2009,0.771704137325287,2014,107703
15,2010,0.78315794467926,2014,107703
15,2011,0.763701498508453,2014,107703
15,2012,0.798184812068939,2014,107703
15,2013,0.782004773616791,2014,107703
15,2014,0.851866185665131,2014,107703
15,2015,0.867884278297424,2014,107703
15,2016,0.872778654098511,2014,107703
15,2017,0.872503519058228,2014,107703
15,2018,0.872801721096039,2014,107703
15,2019,0.888725817203522,2014,107703
